product_id,product_name,category,total_stock,avg_cost_price
PROD00041,Handcrafted Concrete Pants,Clothing,106,448.55
PROD00042,Intelligent Silk Cheese,Furniture,155,853.7
PROD00043,Recycled Concrete Ball,Clothing,165,724.05
PROD00044,Bespoke Marble Bacon,Electronics,249,844.49
PROD00045,Incredible Bronze Pizza,Clothing,258,126.85
PROD00046,Intelligent Steel Soap,Clothing,424,251.15
PROD00047,Modern Bronze Ball,Clothing,293,463.69
PROD00048,Generic Rubber Pizza,Furniture,238,778.89
PROD00049,Bespoke Bamboo Car,Electronics,353,882.25
PROD00050,Ergonomic Aluminum Table,Toys,159,951.39
PROD00051,Rustic Granite Keyboard,Toys,155,211.39
PROD00052,Incredible Silk Salad,Toys,264,963.49
PROD00053,Tasty Aluminum Cheese,Furniture,229,592.49
PROD00054,Incredible Concrete Computer,Grocery,87,687.09
PROD00055,Small Aluminum Hat,Grocery,93,701.39
PROD00056,Rustic Silk Pants,Furniture,15,936.75
PROD00057,Elegant Marble Shoes,Electronics,64,599.09
PROD00058,Bespoke Aluminum Chips,Furniture,335,342.79
PROD00059,Gorgeous Concrete Shirt,Furniture,474,828.35
PROD00060,Rustic Bamboo Chicken,Toys,311,831.98
PROD00061,Refined Bamboo Towels,Grocery,116,346.39
PROD00062,Fresh Concrete Sausages,Furniture,112,875.69
PROD00063,Fresh Silk Pants,Grocery,9,309.55
PROD00064,Frozen Rubber Tuna,Electronics,27,893.39
PROD00065,Refined Metal Salad,Toys,238,848.55
PROD00066,Licensed Steel Soap,Furniture,269,526.59
PROD00067,Handcrafted Plastic Table,Toys,230,269.79
PROD00068,Unbranded Ceramic Shirt,Furniture,397,634.49
PROD00069,Handmade Aluminum Tuna,Electronics,418,537.39
PROD00070,Licensed Silk Gloves,Toys,374,782.49
PROD00071,Licensed Wooden Towels,Clothing,91,985.49
PROD00072,Practical Plastic Soap,Electronics,425,227.39
PROD00073,Electronic Granite Chips,Toys,233,120.19
PROD00074,Handmade Metal Towels,Grocery,34,669.99
PROD00075,Electronic Concrete Computer,Grocery,129,771.35
PROD00076,Rustic Ceramic Chicken,Clothing,440,796.39
PROD00077,Rustic Bronze Soap,Toys,11,720.75
PROD00078,Oriental Gold Bike,Furniture,65,474.75
PROD00079,Handcrafted Bamboo Pizza,Electronics,455,838.15
PROD00080,Frozen Gold Cheese,Toys,63,8.95
PROD00081,Elegant Marble Salad,Electronics,361,950.3
PROD00082,Bespoke Silk Towels,Furniture,196,743.52
PROD00083,Bespoke Aluminum Pants,Electronics,180,8.79
PROD00084,Rustic Concrete Fish,Grocery,121,288.2
PROD00085,Rustic Bamboo Bike,Electronics,278,287.29
PROD00086,Small Granite Bacon,Clothing,264,762.55
PROD00087,Practical Silk Shirt,Clothing,174,342.15
PROD00088,Handmade Cotton Car,Furniture,326,859.89
PROD00089,Rustic Gold Towels,Electronics,443,433.65
PROD00090,Small Ceramic Bike,Toys,180,394.7
PROD00091,Awesome Concrete Towels,Grocery,125,42.6
PROD00092,Tasty Silk Car,Toys,491,621.29
PROD00093,Intelligent Wooden Keyboard,Toys,343,938.68
PROD00094,Intelligent Steel Computer,Furniture,58,132.95
PROD00095,Unbranded Granite Bike,Toys,138,126.79
PROD00096,Recycled Silk Towels,Furniture,219,278.85
PROD00097,Awesome Metal Ball,Furniture,232,206.49
PROD00098,Gorgeous Marble Towels,Toys,414,657.49
PROD00099,Elegant Aluminum Shirt,Electronics,328,127.59
PROD00100,Rustic Plastic Mouse,Clothing,158,609.19
PROD00101,Generic Concrete Keyboard,Grocery,350,947.7
PROD00102,Soft Wooden Cheese,Clothing,45,714.89
PROD00103,Gorgeous Bronze Table,Furniture,192,173.79
PROD00104,Incredible Wooden Cheese,Furniture,72,544.75
PROD00105,Unbranded Gold Towels,Grocery,378,759.09
PROD00106,Ergonomic Metal Cheese,Furniture,377,697.6
PROD00107,Licensed Bronze Shoes,Furniture,71,648.55
PROD00108,Fantastic Cotton Cheese,Grocery,273,509.4
PROD00109,Small Silk Fish,Clothing,261,825.79
PROD00110,Sleek Aluminum Table,Clothing,335,918.95
PROD00111,Elegant Marble Bacon,Clothing,312,605.49
PROD00112,Fantastic Metal Fish,Electronics,359,614.85
PROD00113,Electronic Concrete Salad,Toys,472,775.79
PROD00114,Fantastic Concrete Pizza,Clothing,274,277.0
PROD00115,Tasty Wooden Keyboard,Clothing,12,846.05
PROD00116,Handcrafted Granite Gloves,Clothing,156,740.29
PROD00117,Unbranded Gold Chicken,Clothing,147,558.05
PROD00118,Small Cotton Tuna,Toys,339,540.59
PROD00119,Recycled Marble Tuna,Clothing,500,391.35
PROD00120,Bespoke Rubber Pizza,Toys,41,381.79
PROD00121,Licensed Marble Car,Electronics,331,790.49
PROD00122,Oriental Cotton Hat,Clothing,49,147.39
PROD00123,Incredible Rubber Tuna,Furniture,35,494.45
PROD00124,Frozen Ceramic Towels,Grocery,499,597.79
PROD00125,Unbranded Ceramic Towels,Toys,339,356.3
PROD00126,Rustic Marble Gloves,Furniture,316,454.09
PROD00127,Incredible Metal Ball,Electronics,17,807.99
PROD00128,Tasty Concrete Ball,Furniture,325,429.19
PROD00129,Recycled Ceramic Pizza,Toys,17,805.99
PROD00130,Awesome Wooden Cheese,Toys,241,780.65
PROD00131,Modern Wooden Shoes,Electronics,327,640.89
PROD00132,Handmade Gold Bike,Toys,495,268.07
PROD00133,Gorgeous Silk Tuna,Clothing,199,130.1
PROD00134,Fresh Rubber Soap,Grocery,84,514.65
PROD00135,Intelligent Bamboo Chips,Electronics,405,135.79
PROD00136,Small Metal Pants,Toys,130,152.29
PROD00137,Modern Bronze Bacon,Clothing,201,879.68
PROD00138,Soft Gold Hat,Furniture,336,261.79
PROD00139,Small Wooden Sausages,Furniture,137,492.15
PROD00140,Licensed Gold Salad,Furniture,154,614.55
PROD00141,Elegant Gold Sausages,Grocery,77,536.35
PROD00142,Licensed Concrete Shirt,Clothing,2,464.39
PROD00143,Rustic Silk Hat,Furniture,158,962.95
PROD00144,Soft Bamboo Salad,Clothing,209,73.95
PROD00145,Incredible Rubber Hat,Grocery,474,170.65
PROD00146,Elegant Rubber Pants,Electronics,201,671.89
PROD00147,Fantastic Wooden Chair,Grocery,279,624.89
PROD00148,Fresh Bamboo Chicken,Toys,268,404.69
PROD00149,Oriental Bamboo Gloves,Electronics,346,76.95
PROD00150,Gorgeous Wooden Car,Electronics,389,136.99
PROD00151,Elegant Silk Bike,Furniture,207,368.39
PROD00152,Incredible Silk Towels,Clothing,380,378.49
PROD00153,Elegant Aluminum Bacon,Grocery,235,591.45
PROD00154,Intelligent Plastic Gloves,Furniture,79,938.99
PROD00155,Practical Ceramic Soap,Grocery,412,276.49
PROD00156,Licensed Rubber Salad,Furniture,376,487.8
PROD00157,Electronic Granite Computer,Grocery,229,36.95
PROD00158,Unbranded Plastic Table,Toys,87,923.94
PROD00159,Ergonomic Cotton Ball,Toys,199,174.75
PROD00160,Sleek Ceramic Pants,Toys,51,139.55
PROD00161,Soft Granite Tuna,Toys,1,42.69
PROD00162,Oriental Metal Chips,Electronics,111,712.09
PROD00163,Electronic Plastic Shoes,Electronics,193,374.49
PROD00164,Luxurious Bamboo Hat,Clothing,452,235.69
PROD00165,Handmade Plastic Bike,Furniture,203,961.15
PROD00166,Recycled Steel Mouse,Toys,209,717.43
PROD00167,Generic Cotton Keyboard,Electronics,292,543.19
PROD00168,Bespoke Bamboo Sausages,Furniture,383,915.85
PROD00169,Rustic Granite Soap,Furniture,354,738.79
PROD00170,Intelligent Cotton Gloves,Furniture,358,449.75
PROD00171,Rustic Ceramic Cheese,Electronics,209,827.99
PROD00172,Fantastic Metal Gloves,Electronics,445,863.59
PROD00173,Fantastic Ceramic Ball,Electronics,77,983.65
PROD00174,Practical Aluminum Fish,Toys,378,409.89
PROD00175,Generic Bamboo Shoes,Furniture,56,410.79
PROD00176,Rustic Steel Bike,Furniture,97,513.09
PROD00177,Incredible Bamboo Computer,Clothing,116,385.89
PROD00178,Intelligent Gold Sausages,Grocery,394,620.09
PROD00179,Practical Concrete Keyboard,Grocery,311,389.89
PROD00180,Frozen Steel Ball,Furniture,184,800.49
PROD00181,Tasty Plastic Hat,Clothing,202,745.49
PROD00182,Refined Granite Sausages,Electronics,226,24.05
PROD00183,Generic Concrete Ball,Electronics,18,880.35
PROD00184,Handmade Ceramic Chips,Furniture,4,709.75
PROD00185,Intelligent Metal Sausages,Toys,42,316.59
PROD00186,Ergonomic Rubber Pizza,Furniture,28,916.09
PROD00187,Handmade Marble Computer,Grocery,260,795.39
PROD00188,Sleek Bamboo Shirt,Electronics,452,237.25
PROD00189,Intelligent Concrete Sausages,Furniture,330,183.79
PROD00190,Recycled Gold Cheese,Clothing,354,875.35
PROD00191,Handcrafted Marble Keyboard,Electronics,430,56.85
PROD00192,Oriental Bronze Hat,Clothing,325,699.64
PROD00193,Tasty Cotton Chicken,Electronics,382,713.75
PROD00194,Rustic Ceramic Tuna,Furniture,58,78.6
PROD00195,Small Bronze Sausages,Electronics,3,494.39
PROD00196,Fantastic Concrete Tuna,Electronics,491,245.95
PROD00197,Practical Bronze Keyboard,Electronics,308,422.09
PROD00198,Licensed Marble Towels,Toys,279,101.59
PROD00199,Incredible Rubber Shirt,Electronics,410,890.75
PROD00200,Soft Aluminum Shirt,Grocery,486,571.09
PROD00201,Generic Concrete Car,Grocery,222,622.15
PROD00202,Refined Marble Chips,Furniture,56,586.59
PROD00203,Refined Marble Chips,Electronics,242,394.79
PROD00204,Luxurious Cotton Ball,Furniture,348,199.36
PROD00205,Rustic Bamboo Chips,Electronics,438,301.39
PROD00206,Fresh Cotton Cheese,Furniture,279,611.35
PROD00207,Tasty Granite Mouse,Clothing,49,895.29
PROD00208,Handmade Wooden Bike,Clothing,433,132.49
PROD00209,Handcrafted Cotton Car,Grocery,398,908.65
PROD00210,Fantastic Granite Ball,Clothing,396,962.69
PROD00211,Soft Gold Cheese,Grocery,9,430.29
PROD00212,Bespoke Granite Fish,Clothing,408,724.89
PROD00213,Generic Ceramic Pizza,Grocery,397,235.09
PROD00214,Incredible Ceramic Pants,Furniture,129,395.45
PROD00215,Sleek Steel Car,Electronics,26,353.69
PROD00216,Frozen Rubber Car,Toys,255,676.75
PROD00217,Electronic Metal Cheese,Furniture,303,747.89
PROD00218,Fantastic Cotton Mouse,Toys,150,428.95
PROD00219,Awesome Bamboo Bacon,Furniture,288,943.79
PROD00220,Luxurious Cotton Mouse,Furniture,164,33.99
PROD00221,Ergonomic Cotton Ball,Furniture,348,240.79
PROD00222,Practical Marble Car,Grocery,285,951.95
PROD00223,Gorgeous Gold Bike,Furniture,240,175.75
PROD00224,Awesome Cotton Pizza,Furniture,272,908.9
PROD00225,Sleek Granite Hat,Furniture,236,333.75
PROD00226,Electronic Silk Ball,Grocery,7,794.69
PROD00227,Frozen Metal Pants,Electronics,349,547.69
PROD00228,Frozen Rubber Shirt,Toys,84,617.65
PROD00229,Licensed Aluminum Gloves,Electronics,419,283.99
PROD00230,Recycled Cotton Ball,Grocery,497,740.65
PROD00231,Fantastic Gold Shirt,Toys,355,252.55
PROD00232,Electronic Cotton Chicken,Clothing,333,551.79
PROD00233,Luxurious Gold Table,Toys,19,742.8
PROD00234,Generic Concrete Ball,Toys,172,195.05
PROD00235,Sleek Aluminum Computer,Clothing,423,96.29
PROD00236,Incredible Bamboo Towels,Electronics,82,802.79
PROD00237,Tasty Steel Chair,Electronics,61,248.39
PROD00238,Electronic Silk Hat,Clothing,374,931.09
PROD00239,Sleek Silk Pizza,Furniture,206,551.69
PROD00240,Incredible Ceramic Keyboard,Furniture,374,158.39
PROD00241,Licensed Plastic Shirt,Clothing,121,980.5
PROD00242,Ergonomic Marble Shoes,Grocery,469,119.55
PROD00243,Elegant Granite Salad,Electronics,130,25.92
PROD00244,Gorgeous Metal Bacon,Grocery,194,572.09
PROD00245,Intelligent Aluminum Tuna,Toys,36,772.79
PROD00246,Generic Bamboo Keyboard,Electronics,228,612.34
PROD00247,Licensed Steel Sausages,Clothing,395,807.59
PROD00248,Rustic Steel Sausages,Grocery,70,318.29
PROD00249,Handmade Marble Tuna,Electronics,327,404.19
PROD00250,Incredible Metal Keyboard,Electronics,80,142.69
PROD00251,Generic Silk Gloves,Clothing,73,122.85
PROD00252,Fresh Bamboo Tuna,Grocery,112,120.0
PROD00253,Bespoke Steel Chair,Clothing,382,965.89
PROD00254,Electronic Ceramic Table,Electronics,441,387.09
PROD00255,Licensed Marble Hat,Toys,73,252.99
PROD00256,Soft Marble Bike,Grocery,220,381.49
PROD00257,Soft Concrete Shoes,Clothing,279,621.85
PROD00258,Bespoke Aluminum Table,Electronics,89,998.27
PROD00259,Practical Steel Mouse,Electronics,461,155.09
PROD00260,Handcrafted Marble Shirt,Clothing,95,756.29
PROD00261,Generic Ceramic Shirt,Toys,480,221.8
PROD00262,Electronic Rubber Chair,Toys,331,208.89
PROD00263,Unbranded Rubber Fish,Electronics,403,748.79
PROD00264,Unbranded Gold Fish,Toys,13,649.19
PROD00265,Fantastic Bamboo Hat,Furniture,215,73.85
PROD00266,Refined Steel Tuna,Furniture,10,183.39
PROD00267,Practical Aluminum Cheese,Grocery,467,369.92
PROD00268,Incredible Aluminum Pants,Clothing,352,964.49
PROD00269,Incredible Aluminum Mouse,Clothing,484,495.19
PROD00270,Refined Bamboo Soap,Toys,349,812.15
PROD00271,Frozen Wooden Fish,Electronics,261,954.29
PROD00272,Fresh Rubber Chips,Toys,121,15.5
PROD00273,Oriental Wooden Bike,Clothing,138,898.85
PROD00274,Electronic Cotton Chips,Grocery,161,770.09
PROD00275,Intelligent Bamboo Shirt,Toys,2,796.09
PROD00276,Unbranded Steel Table,Furniture,491,381.59
PROD00277,Rustic Wooden Hat,Clothing,290,864.39
PROD00278,Modern Ceramic Fish,Furniture,125,54.85
PROD00279,Recycled Aluminum Mouse,Toys,468,650.9
PROD00280,Modern Steel Shoes,Clothing,481,488.64
PROD00281,Modern Marble Mouse,Clothing,370,936.49
PROD00282,Bespoke Wooden Gloves,Clothing,488,950.1
PROD00283,Incredible Bamboo Sausages,Grocery,35,307.29
PROD00284,Unbranded Wooden Towels,Electronics,87,175.09
PROD00285,Rustic Cotton Salad,Toys,181,57.19
PROD00286,Generic Cotton Ball,Clothing,38,935.39
PROD00287,Practical Granite Car,Grocery,399,425.79
PROD00288,Gorgeous Silk Gloves,Grocery,414,365.38
PROD00289,Frozen Ceramic Hat,Toys,325,885.79
PROD00290,Practical Silk Shirt,Grocery,407,904.25
PROD00291,Incredible Aluminum Gloves,Grocery,81,121.39
PROD00292,Luxurious Wooden Pizza,Furniture,444,679.55
PROD00293,Elegant Rubber Car,Clothing,226,121.99
PROD00294,Frozen Granite Chicken,Grocery,207,537.45
PROD00295,Elegant Wooden Chips,Furniture,329,946.59
PROD00296,Unbranded Concrete Table,Toys,490,635.49
PROD00297,Tasty Granite Towels,Electronics,368,842.39
PROD00298,Electronic Metal Computer,Grocery,231,957.95
PROD00299,Modern Bamboo Cheese,Electronics,16,161.89
PROD00300,Small Ceramic Towels,Toys,61,89.29
PROD00301,Luxurious Metal Fish,Grocery,225,966.75
PROD00302,Recycled Wooden Car,Grocery,69,249.65
PROD00303,Handcrafted Bamboo Bike,Clothing,466,811.95
PROD00304,Handmade Plastic Tuna,Furniture,110,769.69
PROD00305,Handmade Granite Mouse,Grocery,174,192.05
PROD00306,Handcrafted Bronze Soap,Furniture,10,213.65
PROD00307,Luxurious Gold Shirt,Clothing,423,891.45
PROD00308,Licensed Bronze Pizza,Clothing,163,460.39
PROD00309,Generic Steel Sausages,Electronics,100,107.59
PROD00310,Tasty Cotton Ball,Toys,163,902.2
PROD00311,Luxurious Cotton Cheese,Electronics,220,478.85
PROD00312,Ergonomic Plastic Soap,Clothing,323,408.59
PROD00313,Incredible Gold Car,Furniture,219,385.29
PROD00314,Licensed Rubber Gloves,Clothing,233,471.79
PROD00315,Recycled Silk Tuna,Grocery,298,761.59
PROD00316,Tasty Ceramic Hat,Clothing,207,602.39
PROD00317,Recycled Plastic Shoes,Toys,360,209.49
PROD00318,Oriental Steel Car,Grocery,208,847.39
PROD00319,Elegant Granite Hat,Clothing,238,461.75
PROD00320,Sleek Steel Hat,Toys,100,719.29
PROD00321,Incredible Cotton Car,Grocery,329,440.09
PROD00322,Handmade Rubber Keyboard,Grocery,109,921.69
PROD00323,Awesome Ceramic Shirt,Electronics,162,615.25
PROD00324,Licensed Cotton Shoes,Electronics,31,869.59
PROD00325,Electronic Cotton Fish,Grocery,198,448.69
PROD00326,Tasty Silk Chicken,Furniture,428,156.59
PROD00327,Generic Silk Computer,Clothing,471,947.9
PROD00328,Electronic Marble Bacon,Electronics,235,556.55
PROD00329,Fantastic Rubber Pizza,Clothing,112,163.05
PROD00330,Bespoke Wooden Tuna,Furniture,224,763.39
PROD00331,Rustic Ceramic Gloves,Furniture,231,847.69
PROD00332,Unbranded Silk Computer,Grocery,202,298.45
PROD00333,Licensed Concrete Computer,Grocery,28,490.12
PROD00334,Fresh Plastic Chair,Toys,310,667.59
PROD00335,Luxurious Concrete Hat,Clothing,189,178.09
PROD00336,Gorgeous Gold Tuna,Clothing,129,135.48
PROD00337,Fantastic Steel Shirt,Furniture,402,189.09
PROD00338,Oriental Plastic Cheese,Toys,176,95.69
PROD00339,Generic Granite Cheese,Electronics,251,258.99
PROD00340,Fantastic Bronze Towels,Grocery,400,523.15
PROD00341,Ergonomic Granite Chair,Electronics,48,933.69
PROD00342,Incredible Metal Shirt,Furniture,29,997.89
PROD00343,Licensed Steel Computer,Furniture,438,783.39
PROD00344,Fresh Granite Pizza,Grocery,129,432.19
PROD00345,Bespoke Bronze Bacon,Furniture,378,635.59
PROD00346,Tasty Bamboo Ball,Furniture,143,624.39
PROD00347,Handmade Cotton Mouse,Clothing,227,227.79
PROD00348,Unbranded Aluminum Hat,Toys,188,781.49
PROD00349,Fresh Plastic Mouse,Clothing,11,229.19
PROD00350,Gorgeous Marble Pants,Electronics,386,980.05
PROD00351,Handcrafted Bamboo Table,Furniture,206,38.29
PROD00352,Handmade Marble Salad,Grocery,367,527.2
PROD00353,Sleek Granite Keyboard,Electronics,354,23.39
PROD00354,Generic Aluminum Cheese,Furniture,481,539.79
PROD00355,Soft Bamboo Salad,Furniture,324,917.39
PROD00356,Modern Cotton Soap,Electronics,351,461.38
PROD00357,Tasty Wooden Ball,Grocery,159,292.89
PROD00358,Intelligent Silk Keyboard,Electronics,409,688.59
PROD00359,Handcrafted Concrete Cheese,Toys,41,230.59
PROD00360,Awesome Steel Salad,Grocery,244,207.55
PROD00361,Handcrafted Marble Salad,Toys,129,278.79
PROD00362,Incredible Metal Mouse,Toys,444,693.89
PROD00363,Frozen Metal Bike,Toys,187,344.8
PROD00364,Handcrafted Silk Bacon,Toys,306,826.89
PROD00365,Soft Gold Salad,Electronics,351,195.45
PROD00366,Handcrafted Plastic Cheese,Grocery,105,921.21
PROD00367,Sleek Concrete Shirt,Clothing,157,799.69
PROD00368,Licensed Wooden Gloves,Clothing,223,175.05
PROD00369,Awesome Silk Chicken,Furniture,443,680.3
PROD00370,Generic Cotton Towels,Toys,240,252.15
PROD00371,Generic Rubber Keyboard,Electronics,287,324.29
PROD00372,Fantastic Wooden Bacon,Electronics,477,985.33
PROD00373,Luxurious Silk Keyboard,Toys,11,384.79
PROD00374,Gorgeous Bamboo Ball,Grocery,68,432.48
PROD00375,Handcrafted Cotton Cheese,Toys,349,845.39
PROD00376,Refined Cotton Hat,Grocery,19,475.15
PROD00377,Bespoke Metal Keyboard,Toys,245,136.25
PROD00378,Modern Marble Hat,Toys,455,947.69
PROD00379,Handcrafted Wooden Ball,Toys,144,152.39
PROD00380,Intelligent Concrete Pizza,Clothing,286,908.8
PROD00381,Generic Steel Chips,Toys,13,510.69
PROD00382,Rustic Gold Soap,Grocery,205,471.79
PROD00383,Soft Plastic Chair,Toys,125,387.09
PROD00384,Small Concrete Chips,Grocery,294,355.79
PROD00385,Practical Granite Salad,Electronics,164,404.15
PROD00386,Luxurious Concrete Soap,Grocery,352,91.55
PROD00387,Oriental Steel Cheese,Toys,355,752.09
PROD00388,Incredible Ceramic Tuna,Electronics,233,449.39
PROD00389,Small Bronze Fish,Grocery,124,575.19
PROD00390,Rustic Bronze Pizza,Clothing,135,860.95
PROD00391,Practical Marble Cheese,Furniture,482,62.09
PROD00392,Intelligent Bamboo Bike,Toys,178,204.09
PROD00393,Frozen Bamboo Pizza,Toys,66,950.15
PROD00394,Sleek Ceramic Chicken,Clothing,57,351.25
PROD00395,Gorgeous Bamboo Bike,Grocery,121,653.39
PROD00396,Ergonomic Plastic Shirt,Electronics,292,514.79
PROD00397,Fresh Steel Tuna,Electronics,271,123.95
PROD00398,Tasty Bamboo Bike,Toys,419,19.85
PROD00399,Elegant Granite Computer,Toys,260,551.39
PROD00400,Sleek Aluminum Tuna,Grocery,449,335.7
PROD00401,Rustic Metal Fish,Furniture,209,495.65
PROD00402,Tasty Cotton Bike,Grocery,288,210.09
PROD00403,Frozen Bronze Pants,Toys,285,688.58
PROD00404,Tasty Wooden Towels,Toys,208,966.55
PROD00405,Luxurious Bamboo Towels,Clothing,306,894.25
PROD00406,Rustic Rubber Car,Clothing,356,712.0
PROD00407,Soft Rubber Towels,Furniture,305,451.41
PROD00408,Incredible Steel Pizza,Electronics,319,987.05
PROD00409,Generic Steel Cheese,Electronics,486,700.65
PROD00410,Fresh Gold Cheese,Clothing,306,431.39
PROD00411,Refined Silk Chips,Grocery,316,772.55
PROD00412,Handcrafted Metal Sausages,Furniture,353,538.75
PROD00413,Handmade Wooden Chicken,Toys,367,107.25
PROD00414,Luxurious Ceramic Car,Electronics,478,316.69
PROD00415,Gorgeous Ceramic Keyboard,Clothing,139,27.55
PROD00416,Handcrafted Bamboo Ball,Toys,471,316.49
PROD00417,Electronic Rubber Shoes,Grocery,191,296.65
PROD00418,Handcrafted Plastic Pizza,Clothing,437,457.59
PROD00419,Awesome Plastic Tuna,Grocery,270,665.89
PROD00420,Gorgeous Silk Bike,Clothing,467,167.05
PROD00421,Oriental Bronze Chair,Grocery,282,725.99
PROD00422,Fantastic Bronze Pizza,Grocery,318,606.99
PROD00423,Awesome Gold Pizza,Electronics,209,309.9
PROD00424,Sleek Plastic Tuna,Grocery,439,866.69
PROD00425,Sleek Granite Hat,Electronics,497,734.1
PROD00426,Handcrafted Silk Ball,Furniture,385,694.45
PROD00427,Frozen Cotton Soap,Furniture,275,690.85
PROD00428,Handcrafted Steel Chips,Clothing,54,147.95
PROD00429,Modern Bronze Pizza,Grocery,132,536.72
PROD00430,Handmade Wooden Mouse,Toys,353,349.69
PROD00431,Unbranded Plastic Fish,Clothing,31,817.59
PROD00432,Small Metal Table,Furniture,282,724.19
PROD00433,Fantastic Steel Chicken,Electronics,428,235.9
PROD00434,Small Aluminum Shirt,Toys,218,747.3
PROD00435,Intelligent Concrete Soap,Electronics,439,273.35
PROD00436,Soft Steel Pizza,Electronics,302,654.69
PROD00437,Rustic Steel Gloves,Toys,277,975.59
PROD00438,Handmade Metal Mouse,Electronics,317,718.09
PROD00439,Ergonomic Metal Shoes,Electronics,19,344.05
PROD00440,Electronic Silk Car,Electronics,349,431.55
PROD00441,Fresh Ceramic Table,Electronics,276,383.08
PROD00442,Fresh Ceramic Chips,Electronics,468,194.49
PROD00443,Ergonomic Bronze Bike,Grocery,145,531.05
PROD00444,Intelligent Silk Sausages,Grocery,359,307.3
PROD00445,Incredible Plastic Computer,Furniture,96,634.96
PROD00446,Refined Gold Computer,Grocery,92,459.39
PROD00447,Awesome Silk Car,Furniture,331,938.99
PROD00448,Elegant Gold Shirt,Toys,192,177.59
PROD00449,Practical Silk Cheese,Furniture,280,830.79
PROD00450,Generic Metal Mouse,Grocery,150,229.5
PROD00451,Refined Wooden Shirt,Clothing,45,650.26
PROD00452,Tasty Rubber Pizza,Clothing,110,217.69
PROD00453,Small Wooden Chair,Electronics,198,733.35
PROD00454,Electronic Gold Chair,Clothing,124,508.99
PROD00455,Ergonomic Bronze Cheese,Electronics,416,744.9
PROD00456,Licensed Marble Computer,Toys,461,507.39
PROD00457,Ergonomic Marble Sausages,Furniture,491,563.7
PROD00458,Soft Aluminum Bacon,Grocery,425,465.45
PROD00459,Generic Cotton Soap,Furniture,372,947.89
PROD00460,Small Cotton Ball,Toys,483,127.25
PROD00461,Licensed Plastic Hat,Electronics,162,225.45
PROD00462,Fresh Ceramic Pizza,Electronics,126,665.19
PROD00463,Incredible Steel Cheese,Electronics,309,949.7
PROD00464,Fantastic Gold Mouse,Furniture,310,578.39
PROD00465,Rustic Aluminum Pants,Clothing,160,863.75
PROD00466,Handmade Rubber Car,Clothing,330,258.3
PROD00467,Refined Rubber Towels,Clothing,32,733.29
PROD00468,Generic Concrete Keyboard,Furniture,319,939.79
PROD00469,Fantastic Plastic Chips,Electronics,204,123.09
PROD00470,Handcrafted Plastic Pizza,Toys,457,337.59
PROD00471,Electronic Plastic Computer,Electronics,191,366.05
PROD00472,Oriental Metal Tuna,Electronics,38,702.75
PROD00473,Tasty Plastic Sausages,Electronics,150,196.89
PROD00474,Ergonomic Concrete Pizza,Toys,100,97.7
PROD00475,Awesome Bronze Pizza,Electronics,15,49.69
PROD00476,Fantastic Silk Tuna,Clothing,331,813.59
PROD00477,Elegant Concrete Keyboard,Clothing,293,249.29
